company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
6004,6004,شركة كاتريون للتموين القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897711
6010,6010,الشركة الوطنية للتنمية الزراعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897728
6020,6020,شركة القصيم القابضة للاستثمار,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897745
6040,6040,شركة تبوك للتنمية الزراعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897763
6050,6050,الشركة السعودية للأسماك,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897780
6060,6060,شركة الشرقية للتنمية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897796
6070,6070,شركة الجوف الزراعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897813
6090,6090,شركة جازان للتنمية والاستثمار,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897830
7010,7010,شركة الإتصالات السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897853
7020,7020,شركة إتحاد إتصالات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897893
7200,7200,شركة المعمر لأنظمة المعلومات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897910
7201,7201,شركة بحر العرب لأنظمة المعلومات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897927
7030,7030,شركة الإتصالات المتنقلة السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897943
8313,8313,شركة رسن لتقنية المعلومات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897960
7202,7202,الشركة العربية لخدمات الإنترنت والاتصالات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897976
7203,7203,شركة علم,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.897993
7040,7040,شركة إتحاد عذيب للإتصالات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898009
7204,7204,شركة العرض المتقن للخدمات التجارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898026
7211,7211,شركة عزم السعودية للاتصالات وتقنية المعلومات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898042
4017,4017,شركة مستشفى الدكتور سليمان عبدالقادر فقيه,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898059
4018,4018,شركة الموسى الصحية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898076
4019,4019,الشركة الطبية التخصصية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898092
4013,4013,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898109
4004,4004,شركة دله للخدمات الصحية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898125
4005,4005,الشركة الوطنية للرعاية الطبية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898141
4002,4002,شركة المواساة للخدمات الطبية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898158
4009,4009,شركة الشرق الأوسط للرعاية الصحية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898174
4007,4007,شركة الحمادي القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898191
8060,8060,شركة ولاء للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898207
8050,8050,شركة سلامة للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898223
8012,8012,شركة الجزيرة تكافل تعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898239
8150,8150,المجموعة المتحدة للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898256
8210,8210,شركة بوبا العربية للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898272
